Name,Phone Number,Email,Address,Country,Postal code,Last date of connection,Last time of connection,Age,Gender,Customer spendings
Aaron Cote,966-7625,elit@hotmail.org,699-5837 Risus Street,Norway,4126,5-Apr-21,4:39,71,Man,356
Angelica Lawson,232-3051,diam.proin@google.org,481-8428 Magna. Street,Pakistan,518885,"oct. 10, 2021",0:36,37,Women,173
Louis Gilbert,1-997-733-0134,lorem.fringilla@hotmail.org,Ap #192-2082 Enim. Ave,Colombia,575444,2-Jul-22,3:37,24,Women,105
Oliver Christensen,1-260-552-1780,aliquam.iaculis.lacus@yahoo.net,Ap #640-1456 Ante Rd.,Belgium,1258,25-Jan-21,10:38,40,Women,380
Rooney Wilcox,1-738-376-1733,malesuada.vel@icloud.co,Ap #826-4894 Mi Rd.,Belgium,5164,29-May-21,6:55,47,Man,79
Jakeem Chaney,377-6229,lacinia.at@aol.co,Ap #730-9438 Quisque St.,Canada,B5G 6T7,23-Apr-22,17:24,46,Women,336
Nehru Swanson,394-9459,eu.eros@google.com,5252 Eu Road,Indonesia,21746,6-Aug-22,12:19,58,Man,401
Mufutau Bernard,1-497-157-1583,molestie@hotmail.com,"P.O. Box 533, 8658 Donec Ave",Indonesia,55945,17-Dec-21,23:28,41,Man,438
Dennis Delacruz,933-5315,elit.pretium@google.net,712-9708 Lorem Av.,South Africa,5057-1414,28-Jul-22,5:23,30,Man,59
Evangeline Le,1-864-586-2558,mauris@protonmail.co,Ap #189-7403 Et St.,Brazil,68380-741,6-Jan-21,12:11,27,Women,586
Tara Avila,608-1117,turpis.nec@yahoo.com,Ap #988-453 Donec Street,Italy,14537,29-Dec-21,2:19,63,Man,491
Uriah Kline,1-633-403-8328,amet.metus.aliquam@icloud.org,"Ap #458-7405 Lorem, St.",Australia,8314,19-Feb-21,13:14,28,Women,141
Carter Wagner,216-9626,lorem.sit@outlook.co,398-1102 Pretium Road,Turkey,76544,8-Feb-22,3:23,68,Women,524
Amos Blake,827-0842,risus.duis@icloud.co,5372 Egestas. Ave,Nigeria,752482,24-Jun-22,9:16,74,Man,258
Elaine Myers,1-256-494-7183,ornare.elit@icloud.co,"P.O. Box 741, 9930 Magna St.",France,64790,6-Jan-22,1:42,47,Man,477
Carter Holloway,1-337-460-5916,tempor.diam@hotmail.co,Ap #280-1125 Condimentum. Av.,Pakistan,443285,14-Dec-21,3:19,51,Man,585
Duncan Matthews,333-7587,augue@yahoo.com,Ap #154-6852 Felis Avenue,United States,25259,18-Jun-23,6:23,60,Man,379
Charity Smith,942-8431,cursus.et@google.co,Ap #887-7307 Habitant Ave,Mexico,73927-02346,10-Apr-21,3:39,25,Man,82
Yoshio Olson,1-376-683-9759,quis.urna@icloud.net,753-2393 Arcu. Avenue,Norway,2774,"oct. 25, 2022",16:18,44,Women,125
